time,cyklisté,chodci
Lidická B,,z centra,do centra
2020-06-17 15:00,197,497,11958,460
2020-06-17 16:00,197,497,11996,460
2020-06-17 17:00,197,497,11996,460
2020-06-17 18:00,197,497,12052,460
2020-06-17 19:00,197,497,12137,460
2020-06-17 20:00,197,497,12207,460
2020-06-17 21:00,197,497,12264,460
2020-06-17 22:00,197,497,12305,460
2020-06-17 23:00,197,497,12325,460
2020-06-18 00:00,197,497,12349,460
2020-06-18 01:00,197,497,12357,460
2020-06-18 02:00,197,497,12365,460
2020-06-18 03:00,197,497,12369,460
2020-06-18 04:00,197,497,12372,460
2020-06-18 05:00,197,497,12373,460
2020-06-18 06:00,197,497,12373,460
2020-06-18 07:00,197,497,12378,460
2020-06-18 08:00,197,497,12401,460
2020-06-18 09:00,197,497,12415,460
2020-06-18 10:00,197,497,12429,460
2020-06-18 11:00,197,497,12439,460
2020-06-18 12:00,197,497,12444,460
2020-06-18 13:00,197,497,12452,460
2020-06-18 14:00,197,497,12453,460
2020-06-18 15:00,197,497,12460,460
2020-06-18 16:00,197,497,12481,460
2020-06-18 17:00,197,497,12505,460
2020-06-18 18:00,197,497,12545,460
2020-06-18 19:00,197,497,12579,460
2020-06-18 20:00,197,497,12612,460
2020-06-18 21:00,197,497,12637,460
2020-06-18 22:00,197,497,12647,460
2020-06-18 23:00,197,497,12664,460
2020-06-19 00:00,197,497,12673,460
2020-06-19 01:00,197,497,12677,460
2020-06-19 02:00,197,497,12683,460
2020-06-19 03:00,197,497,12687,460
2020-06-19 04:00,197,497,12691,460
2020-06-19 05:00,197,497,12692,460
2020-06-19 06:00,197,497,12692,460
2020-06-19 07:00,197,497,12697,460
2020-06-19 08:00,197,497,12711,460
2020-06-19 09:00,197,497,12721,460
2020-06-19 10:00,197,497,12723,460
2020-06-19 11:00,197,497,12731,460
2020-06-19 12:00,197,497,12735,460
2020-06-19 13:00,197,497,12743,460
2020-06-19 14:00,197,497,12750,460
2020-06-19 15:00,197,497,12755,460
2020-06-19 16:00,197,497,12772,460
2020-06-19 17:00,197,497,12783,460
2020-06-19 18:00,197,497,12798,460
2020-06-19 19:00,197,497,12830,460
2020-06-19 20:00,197,497,12850,460
2020-06-19 21:00,197,497,12864,460
2020-06-19 22:00,197,497,12882,460
2020-06-19 23:00,197,497,12891,460
2020-06-20 00:00,197,497,12900,460
2020-06-20 01:00,197,497,12911,460
2020-06-20 02:00,197,497,12917,460
2020-06-20 03:00,197,497,12921,460
2020-06-20 04:00,197,497,12921,460
2020-06-20 05:00,197,497,12924,460
2020-06-20 06:00,197,497,12924,460
2020-06-20 07:00,197,497,12924,460
2020-06-20 08:00,197,497,12925,460
2020-06-20 09:00,197,497,12927,460
2020-06-20 10:00,197,497,12933,460
