time,cyklisté,chodci
Lidická A,,do centra,z centra
2020-06-14 06:00,4855,12634,18711,10700
2020-06-14 07:00,4855,12634,18713,10700
2020-06-14 08:00,4855,12634,18716,10700
2020-06-14 09:00,4855,12634,18724,10700
2020-06-14 10:00,4855,12634,18731,10700
2020-06-14 11:00,4855,12634,18746,10700
2020-06-14 12:00,4855,12634,18763,10700
2020-06-14 13:00,4855,12634,18779,10700
2020-06-14 14:00,4855,12634,18799,10700
2020-06-14 15:00,4855,12634,18812,10700
2020-06-14 16:00,4855,12634,18822,10700
2020-06-14 17:00,4855,12634,18828,10700
2020-06-14 18:00,4855,12634,18838,10700
2020-06-14 19:00,4855,12634,18850,10700
2020-06-14 20:00,4855,12634,18865,10700
2020-06-14 21:00,4855,12634,18879,10700
2020-06-14 22:00,4855,12634,18897,10700
2020-06-14 23:00,4855,12634,18900,10700
2020-06-15 00:00,4855,12634,18901,10700
2020-06-15 01:00,4855,12634,18904,10700
2020-06-15 02:00,4855,12634,18905,10700
2020-06-15 03:00,4855,12634,18905,10700
2020-06-15 04:00,4855,12634,18905,10700
2020-06-15 05:00,4855,12634,18905,10700
2020-06-15 06:00,4855,12634,18908,10700
2020-06-15 07:00,4855,12634,18923,10700
2020-06-15 08:00,4855,12634,18950,10700
2020-06-15 09:00,4855,12634,18988,10700
2020-06-15 10:00,4855,12634,19028,10700
2020-06-15 11:00,4855,12634,19063,10700
2020-06-15 12:00,4855,12634,19094,10700
2020-06-15 13:00,4855,12634,19123,10700
2020-06-15 14:00,4855,12634,19158,10700
2020-06-15 15:00,4855,12634,19181,10700
2020-06-15 16:00,4855,12634,19232,10700
2020-06-15 17:00,4855,12634,19280,10700
2020-06-15 18:00,4855,12634,19324,10700
2020-06-15 19:00,4855,12634,19378,10700
2020-06-15 20:00,4855,12634,19419,10700
2020-06-15 21:00,4855,12634,19440,10700
2020-06-15 22:00,4855,12634,19479,10700
2020-06-15 23:00,4855,12634,19496,10700
2020-06-16 00:00,4855,12634,19501,10700
2020-06-16 01:00,4855,12634,19508,10700
2020-06-16 02:00,4855,12634,19511,10700
2020-06-16 03:00,4855,12634,19511,10700
2020-06-16 04:00,4855,12634,19514,10700
2020-06-16 05:00,4855,12634,19516,10700
2020-06-16 06:00,4855,12634,19522,10700
2020-06-16 07:00,4855,12634,19550,10700
2020-06-16 08:00,4855,12634,19592,10700
2020-06-16 10:00,4855,12634,19697,10700
2020-06-16 11:00,4855,12634,19746,10700
2020-06-16 12:00,4855,12634,19777,10700
2020-06-16 13:00,4855,12634,19815,10700
2020-06-16 14:00,4855,12634,19851,10700
2020-06-16 15:00,4855,12634,19886,10700
2020-06-16 16:00,4855,12634,19921,10700
2020-06-16 17:00,4855,12634,19921,10700
2020-06-16 18:00,4855,12634,19973,10700
2020-06-16 19:00,4855,12634,20018,10700
2020-06-16 20:00,4855,12634,20064,10700
2020-06-16 21:00,4855,12634,20114,10700
2020-06-16 22:00,4855,12634,20134,10700
2020-06-16 23:00,4855,12634,20162,10700
2020-06-17 00:00,4855,12634,20177,10700
2020-06-17 01:00,4855,12634,20186,10700
2020-06-17 02:00,4855,12634,20189,10700
2020-06-17 03:00,4855,12634,20192,10700
2020-06-17 04:00,4855,12634,20195,10700
2020-06-17 05:00,4855,12634,20196,10700
2020-06-17 06:00,4855,12634,20198,10700
2020-06-17 07:00,4855,12634,20219,10700
2020-06-17 08:00,4855,12634,20257,10700
2020-06-17 09:00,4855,12634,20308,10700
2020-06-17 10:00,4855,12634,20349,10700
2020-06-17 11:00,4855,12634,20386,10700
2020-06-17 12:00,4855,12634,20421,10700
2020-06-17 13:00,4855,12634,20457,10700
2020-06-17 14:00,4855,12634,20488,10700
2020-06-17 15:00,4855,12634,20524,10700
2020-06-17 16:00,4855,12634,20562,10700
2020-06-17 17:00,4855,12634,20616,10700
2020-06-17 18:00,4855,12634,20676,10700
2020-06-17 19:00,4855,12634,20730,10700
2020-06-17 20:00,4855,12634,20781,10700
2020-06-17 21:00,4855,12634,20825,10700
2020-06-17 22:00,4855,12634,20854,10700
2020-06-17 23:00,4855,12634,20875,10700
2020-06-18 00:00,4855,12634,20887,10700
2020-06-18 01:00,4855,12634,20896,10700
2020-06-18 02:00,4855,12634,20899,10700
2020-06-18 03:00,4855,12634,20904,10700
2020-06-18 04:00,4855,12634,20904,10700
2020-06-18 05:00,4855,12634,20904,10700
2020-06-18 06:00,4855,12634,20909,10700
2020-06-18 07:00,4855,12634,20920,10700
2020-06-18 08:00,4855,12634,20953,10700
2020-06-18 09:00,4855,12634,20977,10700
2020-06-18 10:00,4855,12634,20996,10700
2020-06-18 11:00,4855,12634,21015,10700
2020-06-18 12:00,4855,12634,21019,10700
2020-06-18 13:00,4855,12634,21026,10700
2020-06-18 14:00,4855,12634,21043,10700
2020-06-18 15:00,4855,12634,21054,10700
2020-06-18 16:00,4855,12634,21067,10700
2020-06-18 17:00,4855,12634,21067,10700
2020-06-18 18:00,4855,12634,21099,10700
2020-06-18 19:00,4855,12634,21125,10700
