time,cyklisté,chodci
Kounicova B,,do centra,z centra
2020-06-11 01:00,5827,8774,9981,8027
2020-06-11 03:00,5827,8774,9981,8027
2020-06-11 04:00,5827,8774,9981,8027
2020-06-11 06:00,5827,8774,9981,8027
2020-06-11 07:00,5827,8774,9986,8027
2020-06-11 08:00,5827,8774,10002,8027
2020-06-11 09:00,5827,8774,10029,8027
2020-06-11 10:00,5827,8774,10068,8027
2020-06-11 11:00,5827,8774,10086,8027
2020-06-11 12:00,5827,8774,10101,8027
2020-06-11 13:00,5827,8774,10126,8027
2020-06-11 14:00,5827,8774,10155,8027
2020-06-11 15:00,5827,8774,10183,8027
2020-06-11 16:00,5827,8774,10205,8027
2020-06-11 17:00,5827,8774,10233,8027
2020-06-11 18:00,5827,8774,10265,8027
2020-06-11 19:00,5827,8774,10292,8027
2020-06-11 20:00,5827,8774,10317,8027
2020-06-11 21:00,5827,8774,10335,8027
2020-06-11 22:00,5827,8774,10353,8027
2020-06-11 23:00,5827,8774,10358,8027
2020-06-12 00:00,5827,8774,10360,8027
2020-06-12 01:00,5827,8774,10362,8027
2020-06-12 02:00,5827,8774,10364,8027
2020-06-12 03:00,5827,8774,10364,8027
2020-06-12 04:00,5827,8774,10364,8027
2020-06-12 05:00,5827,8774,10364,8027
2020-06-12 06:00,5827,8774,10364,8027
2020-06-12 07:00,5827,8774,10369,8027
2020-06-12 08:00,5827,8774,10384,8027
2020-06-12 09:00,5827,8774,10401,8027
2020-06-12 10:00,5827,8774,10436,8027
2020-06-12 11:00,5827,8774,10465,8027
2020-06-12 12:00,5827,8774,10490,8027
2020-06-12 13:00,5827,8774,10511,8027
2020-06-12 14:00,5827,8774,10539,8027
2020-06-12 15:00,5827,8774,10559,8027
2020-06-12 16:00,5827,8774,10585,8027
2020-06-12 17:00,5827,8774,10625,8027
2020-06-12 18:00,5827,8774,10647,8027
2020-06-12 19:00,5827,8774,10666,8027
2020-06-12 20:00,5827,8774,10682,8027
2020-06-12 21:00,5827,8774,10702,8027
2020-06-12 22:00,5827,8774,10720,8027
2020-06-12 23:00,5827,8774,10733,8027
2020-06-13 00:00,5827,8774,10738,8027
2020-06-13 01:00,5827,8774,10740,8027
2020-06-13 02:00,5827,8774,10741,8027
2020-06-13 03:00,5827,8774,10741,8027
2020-06-13 04:00,5827,8774,10741,8027
2020-06-13 05:00,5827,8774,10741,8027
2020-06-13 06:00,5827,8774,10741,8027
2020-06-13 07:00,5827,8774,10744,8027
2020-06-13 08:00,5827,8774,10749,8027
2020-06-13 09:00,5827,8774,10755,8027
2020-06-13 10:00,5827,8774,10770,8027
2020-06-13 11:00,5827,8774,10781,8027
2020-06-13 12:00,5827,8774,10799,8027
2020-06-13 13:00,5827,8774,10816,8027
2020-06-13 14:00,5827,8774,10836,8027
2020-06-13 15:00,5827,8774,10849,8027
2020-06-13 16:00,5827,8774,10861,8027
2020-06-13 17:00,5827,8774,10872,8027
2020-06-13 18:00,5827,8774,10893,8027
2020-06-13 19:00,5827,8774,10900,8027
2020-06-13 20:00,5827,8774,10909,8027
2020-06-13 21:00,5827,8774,10911,8027
2020-06-13 22:00,5827,8774,10915,8027
2020-06-13 23:00,5827,8774,10916,8027
2020-06-14 00:00,5827,8774,10916,8027
2020-06-14 01:00,5827,8774,10918,8027
2020-06-14 02:00,5827,8774,10918,8027
2020-06-14 03:00,5827,8774,10918,8027
2020-06-14 04:00,5827,8774,10918,8027
2020-06-14 05:00,5827,8774,10918,8027
2020-06-14 06:00,5827,8774,10918,8027
2020-06-14 07:00,5827,8774,10918,8027
2020-06-14 08:00,5827,8774,10919,8027
2020-06-14 09:00,5827,8774,10923,8027
2020-06-14 10:00,5827,8774,10934,8027
2020-06-14 11:00,5827,8774,10944,8027
2020-06-14 12:00,5827,8774,10952,8027
2020-06-14 13:00,5827,8774,10966,8027
2020-06-14 14:00,5827,8774,10981,8027
2020-06-14 15:00,5827,8774,10988,8027
2020-06-14 16:00,5827,8774,10993,8027
2020-06-14 17:00,5827,8774,11000,8027
2020-06-14 18:00,5827,8774,11009,8027
2020-06-14 19:00,5827,8774,11019,8027
2020-06-14 20:00,5827,8774,11027,8027
2020-06-14 21:00,5827,8774,11035,8027
2020-06-14 22:00,5827,8774,11040,8027
2020-06-14 23:00,5827,8774,11040,8027
2020-06-15 00:00,5827,8774,11042,8027
2020-06-15 01:00,5827,8774,11042,8027
2020-06-15 02:00,5827,8774,11042,8027
2020-06-15 03:00,5827,8774,11042,8027
2020-06-15 04:00,5827,8774,11042,8027
2020-06-15 05:00,5827,8774,11042,8027
2020-06-15 06:00,5827,8774,11042,8027
2020-06-15 07:00,5827,8774,11050,8027
2020-06-15 08:00,5827,8774,11062,8027
2020-06-15 09:00,5827,8774,11091,8027
2020-06-15 10:00,5827,8774,11123,8027
2020-06-15 11:00,5827,8774,11138,8027
2020-06-15 12:00,5827,8774,11154,8027
2020-06-15 13:00,5827,8774,11188,8027
2020-06-15 14:00,5827,8774,11217,8027
2020-06-15 15:00,5827,8774,11250,8027
2020-06-15 16:00,5827,8774,11279,8027
2020-06-15 17:00,5827,8774,11323,8027
2020-06-15 18:00,5827,8774,11359,8027
2020-06-15 19:00,5827,8774,11390,8027
2020-06-15 20:00,5827,8774,11417,8027
2020-06-15 21:00,5827,8774,11439,8027
2020-06-15 22:00,5827,8774,11450,8027
2020-06-15 23:00,5827,8774,11458,8027
2020-06-16 00:00,5827,8774,11464,8027
2020-06-16 01:00,5827,8774,11466,8027
2020-06-16 02:00,5827,8774,11466,8027
2020-06-16 03:00,5827,8774,11467,8027
2020-06-16 04:00,5827,8774,11467,8027
2020-06-16 05:00,5827,8774,11467,8027
2020-06-16 06:00,5827,8774,11467,8027
2020-06-16 07:00,5827,8774,11479,8027
2020-06-16 08:00,5827,8774,11492,8027
2020-06-16 10:00,5827,8774,11582,8027
2020-06-16 11:00,5827,8774,11612,8027
2020-06-16 12:00,5827,8774,11625,8027
2020-06-16 13:00,5827,8774,11646,8027
2020-06-16 14:00,5827,8774,11684,8027
2020-06-16 15:00,5827,8774,11708,8027
2020-06-16 16:00,5827,8774,11735,8027
2020-06-16 17:00,5827,8774,11778,8027
2020-06-16 18:00,5827,8774,11813,8027
2020-06-16 19:00,5827,8774,11846,8027
2020-06-16 20:00,5827,8774,11875,8027
2020-06-16 21:00,5827,8774,11901,8027
2020-06-16 22:00,5827,8774,11914,8027
2020-06-16 23:00,5827,8774,11925,8027
2020-06-17 00:00,5827,8774,11926,8027
2020-06-17 01:00,5827,8774,11929,8027
2020-06-17 02:00,5827,8774,11929,8027
2020-06-17 03:00,5827,8774,11929,8027
2020-06-17 04:00,5827,8774,11929,8027
2020-06-17 05:00,5827,8774,11929,8027
2020-06-17 06:00,5827,8774,11930,8027
2020-06-17 07:00,5827,8774,11940,8027
2020-06-17 08:00,5827,8774,11955,8027
2020-06-17 09:00,5827,8774,11984,8027
2020-06-17 10:00,5827,8774,12029,8027
2020-06-17 11:00,5827,8774,12061,8027
2020-06-17 12:00,5827,8774,12084,8027
2020-06-17 13:00,5827,8774,12105,8027
2020-06-17 14:00,5827,8774,12129,8027
2020-06-17 15:00,5827,8774,12144,8027
2020-06-17 16:00,5827,8774,12174,8027
2020-06-17 17:00,5827,8774,12207,8027
